"id";"id_region";"rayon_name";"rayon_name_kz"
"1";"1";"Кокшетау";" Көкшетау
"
"2";"1";"Степногорск";" Степногорск
"
"3";"1";"Аккольский район";" Ақкөл ауданы
"
"4";"1";"Аршалынский район";" Аршалы ауданы
"
"5";"1";"Астраханский район";" Астрахан ауданы
"
"6";"1";"Атбасарский район";" Атбасар ауданы
"
"7";"1";"Буландынский район";" Бұланды ауданы
"
"8";"1";"Бурабайский район";" Бурабай ауданы
"
"9";"1";"Егиндыкольский район";" Егіндікөл ауданы
"
"10";"1";"район Биржан-сал";" Біржан сал ауданы
"
"11";"1";"Ерейментауский район";" Ерейментау ауданы
"
"12";"1";"Есильский район";" Есіл ауданы
"
"13";"1";"Жаксынский район";" Жақсы ауданы
"
"14";"1";"Жаркаинский район";" Жарқайың ауданы
"
"15";"1";"Зерендинский район";" Зеренді ауданы
"
"16";"1";"Коргалжынский район";" Қорғалжын ауданы
"
"17";"1";"Сандыктауский район";" Сандықтау ауданы
"
"18";"1";"Целиноградский район";" Целиноград ауданы
"
"19";"1";"Шортандинский район";" Шортанды ауданы
"
"20";"2";"Актобе";" Ақтөбе
"
"21";"2";"Айтекебийский район";" Әйтеке би ауданы
"
"22";"2";"Алгинский район";" Алға ауданы
"
"23";"2";"Байганинский район";" Байғанин ауданы
"
"24";"2";"Иргизский район";" Ырғыз ауданы
"
"25";"2";"Каргалинский район";" Қарғалы ауданы
"
"26";"2";"Мартукский район";" Мәртөк ауданы
"
"27";"2";"Мугалжарский район";" Мұғалжар ауданы
"
"28";"2";"Темирский район";" Темір ауданы
"
"29";"2";"Уилский район";" Ойыл ауданы
"
"30";"2";"Хобдинский район";" Қобда ауданы
"
"31";"2";"Хромтауский район";" Хромтау ауданы
"
"32";"2";"Шалкарский район";" Шалқар ауданы
"
"33";"16";"Алатауский район";" Алатау ауданы
"
"34";"16";"Алмалинский район";" Алмалы ауданы
"
"35";"16";"Ауэзовский район";" Әуезов ауданы
"
"36";"16";"Бостандыкский район";" Бостандық ауданы
"
"37";"16";"Жетысуский район";" Жетісу ауданы
"
"38";"16";"Медеуский район";" Медеу ауданы
"
"39";"16";"Наурызбайский район";" Наурызбай ауданы
"
"40";"16";"Турксибский район";" Түрксіб ауданы
"
"41";"3";"Талдыкорган";" Талдықорған
"
"42";"3";"Капшагай";" Қапшағай
"
"43";"3";"Текели";" Текелі
"
"44";"3";"Аксуский район";" Ақсу ауданы
"
"45";"3";"Алакольский район";" Алакөл ауданы
"
"46";"3";"Балхашский район";" Балқаш ауданы
"
"47";"3";"Енбекшиказахский район";" Еңбекшіқазақ ауданы
"
"48";"3";"Ескельдинский район";" Ескелді ауданы
"
"49";"3";"Жамбылский район";" Жамбыл ауданы
"
"50";"3";"Илийский район";" Іле ауданы
"
"51";"3";"Карасайский район";" Қарасай ауданы
"
"52";"3";"Каратальский район";" Қаратал ауданы
"
"53";"3";"Кегенский район";" Кеген ауданы
"
"54";"3";"Кербулакский район";" Кербұлақ ауданы
"
"55";"3";"Коксуский район";" Көксу ауданы
"
"56";"3";"Панфиловский район";" Панфилов ауданы
"
"57";"3";"Райымбекский район";" Райымбек ауданы
"
"58";"3";"Саркандский район";" Сарқан ауданы
"
"59";"3";"Талгарский район";" Талғар ауданы
"
"60";"3";"Уйгурский район";" Ұйғыр ауданы
"
"61";"4";"Атырау";" Атырау
"
"62";"4";"Жылыойский район";" Жылыой ауданы
"
"63";"4";"Индерский район";" Индер ауданы
"
"64";"4";"Исатайский район";" Исатай ауданы
"
"65";"4";"Кзылкогинский район";" Қызылқоға ауданы
"
"66";"4";"Курмангазинский район";" Құрманғазы ауданы
"
"67";"4";"Макатский район";" Мақат ауданы
"
"68";"4";"Махамбетский район";" Махамбет ауданы
"
"69";"5";"Курчатов";" Курчатов
"
"70";"5";"Риддер";" Риддер
"
"71";"5";"Семей";" отбасы
"
"72";"5";"Усть-Каменогорск";" Өскемен
"
"73";"5";"Абайский район";" Абай ауданы
"
"74";"5";"Аягозский район";" Аягөз ауданы
"
"75";"5";"Бескарагайский район";" Бесқарағай ауданы
"
"76";"5";"Бородулихинский район";" Бородулиха ауданы
"
"77";"5";"Глубоковский район";" Глубокое ауданы
"
"78";"5";"Жарминский район";" Жарма ауданы
"
"79";"5";"Зайсанский район";" Зайсан ауданы
"
"80";"5";"Зыряновский район";" Зырян ауданы
"
"81";"5";"Катон-Карагайский район";" Катонқарағай ауданы
"
"82";"5";"Кокпектинский район";" Көкпекті ауданы
"
"83";"5";"Куршимский район";" Куршим ауданы
"
"84";"5";"Тарбагатайский район";" Тарбағатай ауданы
"
"85";"5";"Уланский район";" Ұлан ауданы
"
"86";"5";"Урджарский район";" Үржар ауданы
"
"87";"5";"Шемонаихинский район";" Шемонаиха ауданы
"
"88";"6";"Тараз";" Тараз
"
"89";"6";"Байзакский район";" Байзақ ауданы
"
"90";"6";"Жамбылский район";" Жамбыл ауданы
"
"91";"6";"Жуалынский район";" Жуалы ауданы
"
"92";"6";"Кордайский район";" Қордай ауданы
"
"93";"6";"Меркенский район";" Меркі ауданы
"
"94";"6";"Мойынкумский район";" Мойынқұм ауданы
"
"95";"6";"Рыскуловский район";" Рысқұлов ауданы
"
"96";"6";"Сарысуский район";" Сарысу ауданы
"
"97";"6";"Таласский район";" Талас ауданы
"
"98";"6";"Шуский район";" Шу ауданы
"
"99";"7";"Уральск";" Орал
"
"100";"7";"Акжаикский район";" Ақжайық ауданы
"
"101";"7";"Бокейординский район";" Бөкей ордасы ауданы
"
"102";"7";"Бурлинский район";" Бөрлі ауданы
"
"103";"7";"Жангалинский район";" Жаңақала ауданы
"
"104";"7";"Жанибекский район";" Жәнібек ауданы
"
"105";"7";"Байтерекский район";" Бәйтерек ауданы
"
"106";"7";"Казталовский район";" Казталов ауданы
"
"107";"7";"Каратобинский район";" Қаратөбе ауданы
"
"108";"7";"Сырымский район";" Сырым ауданы
"
"109";"7";"Таскалинский район";" Тасқала ауданы
"
"110";"7";"Теректинский район";" Теректі ауданы
"
"111";"7";"Чингирлауский район";" Шыңғырлау ауданы
"
"112";"8";"Караганда";" Қарағанды
"
"113";"8";"Балхаш";" Балқаш
"
"114";"8";"Жезказган";" Жезқазған
"
"115";"8";"Каражал";" Қаражал
"
"116";"8";"Приозёрск";" Приозерск
"
"117";"8";"Сарань";" Саран
"
"118";"8";"Сатпаев";" Сәтбаев
"
"119";"8";"Темиртау";" Теміртау
"
"120";"8";"Шахтинск";" Шахтинск
"
"121";"8";"Абайский район";" Абай ауданы
"
"122";"8";"Актогайский район";" Ақтоғай ауданы
"
"123";"8";"Бухар-Жырауский район";" Бұқар Жырау ауданы
"
"124";"8";"Жанааркинский район";" Жаңаарқа ауданы
"
"125";"8";"Каркаралинский район";" Қарқаралы ауданы
"
"126";"8";"Нуринский район";" Нұра ауданы
"
"127";"8";"Осакаровский район";" Осакаров ауданы
"
"128";"8";"Улытауский район";" Ұлытау ауданы
"
"129";"8";"Шетский район";" Шет ауданы
"
"130";"9";"Аркалык";" Арқалық
"
"131";"9";"Костанай";" Қостанай
"
"132";"9";"Лисаковск";" Лисаковск
"
"133";"9";"Рудный";" кенді
"
"134";"9";"Алтынсаринский район";" Алтынсарин ауданы
"
"135";"9";"Амангельдинский район";" Амангелді ауданы
"
"136";"9";"Аулиекольский район";" Әулиекөл ауданы
"
"137";"9";"Денисовский район";" Денисов ауданы
"
"138";"9";"Джангельдинский район";" Жангелдин ауданы
"
"139";"9";"Житикаринский район";" Жітіқара ауданы
"
"140";"9";"Камыстинский район";" Қамысты ауданы
"
"141";"9";"Карабалыкский район";" Қарабалық ауданы
"
"142";"9";"Карасуский район";" Қарасу ауданы
"
"143";"9";"Костанайский район";" Қостанай ауданы
"
"144";"9";"Мендыкаринский район";" Меңдіқара ауданы
"
"145";"9";"Наурзумский район";" Науырзым ауданы
"
"146";"9";"Сарыкольский район";" Сарыкөл ауданы
"
"147";"9";"Тарановский район";" Таран ауданы
"
"148";"9";"Узункольский район";" Ұзынкөл ауданы
"
"149";"9";"Фёдоровский район";" Федоров ауданы
"
"150";"10";"Кызылорда";" Қызылорда
"
"151";"10";"Байконур";" Байқоңыр
"
"152";"10";"Аральский район";" Арал ауданы
"
"153";"10";"Жанакорганский район";" Жаңақорған ауданы
"
"154";"10";"Казалинский район";" Қазалы ауданы
"
"155";"10";"Кармакшинский район";" Қармақшы ауданы
"
"156";"10";"Жалагашский район";" Жалағаш ауданы
"
"157";"10";"Сырдарьинский район";" Сырдария ауданы
"
"158";"10";"Шиелийский район";" Шиелі ауданы
"
"159";"11";"Актау";" Ақтау
"
"160";"11";"Жанаозен";" Жаңаөзен
"
"161";"11";"Бейнеуский район";" Бейнеу ауданы
"
"162";"11";"Каракиянский район";" Қарақия ауданы
"
"163";"11";"Мангистауский район";" Маңғыстау ауданы
"
"164";"11";"Мунайлинский район";" Мұнайлы ауданы
"
"165";"11";"Тупкараганский район";" Түпқараған ауданы
"
"166";"17";"Алматинский район";" Алматы ауданы
"
"167";"17";"Байконурский район";" Байқоңыр ауданы
"
"168";"17";"Есильский район";" Есіл ауданы
"
"169";"17";"Сарыаркинский район";" Сарыарқа ауданы
"
"170";"12";"Аксу";" Ақсу
"
"171";"12";"Павлодар";" Павлодар
"
"172";"12";"Экибастуз";" Екібастұз
"
"173";"12";"Актогайский район";" Ақтоғай ауданы
"
"174";"12";"Баянаульский район";" Баянауыл ауданы
"
"175";"12";"Железинский район";" Железин ауданы
"
"176";"12";"Иртышский район";" Ертіс ауданы
"
"177";"12";"Теренкольский район";" Тереңкөл ауданы
"
"178";"12";"Аккулинский район";" Аққулы ауданы
"
"179";"12";"Майский район";" Май ауданы
"
"180";"12";"Павлодарский район";" Павлодар ауданы
"
"181";"12";"Успенский район";" Успен ауданы
"
"182";"12";"Щербактинский район";" Шарбақты ауданы
"
"183";"13";"Петропавловск";" Петропавл
"
"184";"13";"Айыртауский район";" Айыртау ауданы
"
"185";"13";"Акжарский район";" Ақжар ауданы
"
"186";"13";"Аккайынский район";" Аққайың ауданы
"
"187";"13";"Есильский район";" Есіл ауданы
"
"188";"13";"Жамбылский район";" Жамбыл ауданы
"
"189";"13";"Район Магжана Жумабаева";" Мағжан Жұмабаев Ауданы
"
"190";"13";"Кызылжарский район";" Қызылжар ауданы
"
"191";"13";"Мамлютский район";" Мамлют ауданы
"
"192";"13";"Район имени Габита Мусрепова";" Ғабит Мүсірепов атындағы ауда"
"193";"13";"Тайыншинский район";" Тайынша ауданы
"
"194";"13";"Тимирязевский район";" Тимирязев ауданы
"
"195";"13";"Уалихановский район";" Уәлиханов ауданы
"
"196";"13";"Район Шал акына";" Шал ақын ауданы
"
"197";"14";"Арыс";" Арыс
"
"198";"14";"Кентау";" Кентау
"
"199";"14";"Туркестан";" Түркістан
"
"200";"14";"Байдибекский район";" Бәйдібек ауданы
"
"201";"14";"Казыгуртский район";" Қазығұрт ауданы
"
"202";"14";"Мактааральский район";" Мақтаарал ауданы
"
"203";"14";"Ордабасинский район";" Ордабасы ауданы
"
"204";"14";"Отырарский район";" Отырар ауданы
"
"205";"14";"Сайрамский район";" Сайрам ауданы
"
"206";"14";"Сарыагашский район";" Сарыағаш ауданы
"
"207";"14";"Сузакский район";" Созақ ауданы
"
"208";"14";"Толебийский район";" Төле би ауданы
"
"209";"14";"Тюлькубасский район";" Түлкібас ауданы
"
"210";"14";"Шардаринский район";" Шардара ауданы
"
"211";"14";"Жетысайский район";" Жетісай ауданы
"
"212";"14";"Келесский район";" Келес ауданы
"
"213";"15";"Абайский район";" Абай ауданы
"
"214";"15";"Аль-Фарабийский район";" Әл-Фараби ауданы
"
"215";"15";"Енбекшинский район";" Еңбекші ауданы
"
"216";"15";"Каратауский район";" Қаратау ауданы"
